,Description,Name
150,"Surveys the emerging landscape of computational advertising. It will provide students with a thorough understanding of the technologies including web-search, auctions, behavioral targeting, and mechanisms for viral marketing that underpin the display of advertisements on a variety of locations. These locations include web pages (banner ads), on prominent search engines (text ads), on social media platforms, as well as cell phones. The students shall also learn about new research areas in computational advertising including electronic billboards, moving objects (banners atop taxi cabs) and algorithmic synthesis of personalized advertisements. This class will also discuss issues related to consumer privacy. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 460. Junior or senior standing required.",ADV 461
151,"Social media analytics is the art and science of extracting valuable hidden insights from vast amounts of semi-structured and unstructured social media data to enable informed and insightful decision making. ADV 480 is an advanced course designed to provide the students with (1) well-grounded understanding of social media analytics, (2) techniques of extracting and analyzing Twitter analytics, and (3) skills of interpreting and aligning insights gained with organizational goals and objectives. 3 undergraduate hours. 3 graduate hours. Credit is not given towards graduation for ADV 480 if credit for ADV 490 SMA Social Media Analytics has been earned. Prerequisite: Restricted to students with Junior, Senior, or Graduate class standing.",ADV 480
152,"Analyzes audiences and matches consumer insights with strategic ideas for brand communication, contact, and connection. 3 undergraduate hours. 3 graduate hours. Prerequisite: ADV 250 or ADV 283 and ADV 284. Restricted to students with Senior OR Graduate class standing.",ADV 483
153,"Advanced undergraduate course on quantitative research methods in advertising and consumer behavior. In-depth coverage of descriptive research, experimental research, descriptive and inferential statistics, and computer analysis and interpretation of actual data. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 281.",ADV 484
154,"Covers current issues in various advertising areas not studied extensively in other courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic. Restricted to students with Junior, Senior, or Graduate class standing.",ADV 490
155,"With the maturation of the internet as an advertising and media channel, advertising, journalism, and communications students need to know more about technology and how that impacts their messages and designs. Likewise, computer scientists could benefit from knowledge of what the end user is looking for when designing web content, applications and other web-based media. Students in this course will gain design knowledge as well as a hands-on experience in completing a technology-driven advertising campaign. Students will participate in engineering, advertising and project management activities with individual as well as team responsibilities. Same as CS 468. 3 undergraduate hours. No graduate credit. Credit is not given for ADV 492 and ADV 498. Prerequisite: CS 225 or consent of instructors. Junior or senior standing in Advertising or Computer Science.",ADV 492
156,"Addresses what makes a mass-mediated message persuasive by reviewing theories of mass communication and persuasion, consumer information-processing, and advertising effectiveness measures. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 281.",ADV 494
157,"Seminar based on internship experience. Offered for College of Media students who complete an approved professional, industry related internship. 1 undergraduate hour. 1 graduate hour. Approved for S/U grading only. May be repeated in the same term to a maximum of 2 undergraduate hours or 2 graduate hours. May be repeated in subsequent terms to a maximum of 3 undergraduate hours or 3 graduate hours. Prerequisite: Consent of instructor.",ADV 495
158,"Supervised investigation of student-driven research on special topics related to advertising in individual or collaborative format. Topic and nature of research may vary. Capstone paper required. Type of course: Lecture-discussion 1 to 3 undergraduate hours. No graduate credit. May be repeated up to 3 hours in the same term or 6 hours in separate terms, if topics vary. Prerequisite: Evidence of adequate preparation for such study; consent of faculty member supervising the work; and approval of the department head. Restricted to majors only. Not available to freshman.",ADV 496
159,"Current topics, cases, and research in advertising are presented in a forum that fosters critical thinking and engagement. Weekly presentation and discussion of current research and cases by faculty, undergraduate/graduate students, visiting scholars and visiting professionals. 1 undergraduate hour. No graduate credit. Approved for S/U grading only. May be repeated up to 2 hours in separate terms, if topics vary. Prerequisite: ADV 281 and consent of instructor.",ADV 497
160,"This course is named after the founder of the Advertising Department, Charles H. Sandage (known as the ""father of advertising education""). His vision of educating the future of the industry was grounded in theoretical and foundational courses emphasizing the ""why of advertising"" - not just the ""how."" In this course, students will integrate the concepts, experiences, and skills that have been learned in the curriculum with a service-learning project. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 250 or ADV 283, ADV 360 or ADV 460, and ADV 390.",ADV 498
161,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluation an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. 3 graduate hours. No professional credit. Credit is not given for both ADV 409 and ADV 509. Prerequisite: Limited to MS Advertising students.",ADV 509
162,Treatment of basic research concepts and procedures in the social sciences with emphasis on advertising. Prerequisite: Consent of the department.,ADV 582
163,Students write research proposals in this course. Prerequisite: The grade of B or better in ADV 587.,ADV 588
164,May be repeated in the same or in multiple semesters if topics vary. Prerequisite: Consent of department.,ADV 590
165,"Current topics, cases, and research in advertising are presented in a forum that fosters critical thinking and engagement. Weekly presentation and discussion of current research and cases by faculty, undergraduate/graduate students, visiting scholars and visiting professionals. Approved for S/U grading only. May be repeated up to 4 graduate hours in separate terms.",ADV 597
166,"This is a capstone course – where individuals will complete their final project for the MS Advertising degree. The project showcases the student’s mastery of knowledge in the primary areas of advertising. Students can enroll in 0, 3, or 6 graduate credits – for a maximum of 6 credits during their degree program. 0 to 6 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: A grade of B or better in ADV 588.",ADV 598
167,Computer-aided design (CAD) software modeling of engineered components. Sketching and three-dimensional solid modeling. Complex surface modeling. Production of assembly drawings and exploded views. Creation of dimensioned drawings using best practices for manufacturing. Sketching of parts in isometric views and multi-view drawings along with spatial visualization. Aerospace engineering-themed final project. Credit is not given for AE 140 and either SE 101 or ME 170. Prerequisite: Restricted to Aerospace Majors.,AE 140
168,"Fundamental principles of aerospace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design. Prerequisite: Credit or concurrent registration in TAM 212.",AE 202
169,"Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. Prerequisite: Credit or concurrent registration in AE 202 and MATH 241.",AE 311
170,"Dynamics of compressible fluid; conservation of mass, momentum, and energy; one-dimensional and quasi-one-dimensional flow; oblique shock waves & Parandtl-Meyer expansion fans; unsteady wave motion; linearized theory. Application to nozzles, diffusers, airfoils, shock tubes and other geometries. Prerequisite: AE 202 and MATH 285. Credit or concurrent registration in ME 200.",AE 312
171,"Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. Prerequisite: MATH 285 and one of TAM 210 or TAM 211.",AE 321
172,"Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. Prerequisite: AE 321, MATH 241, MATH 285, and one of TAM 210 or TAM 211.",AE 323
173,"Particle kinematics and dynamics; Lagrange's equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. Credit is not given toward graduation for both AE 352 and TAM 412. Prerequisite: MATH 225, MATH 257, or MATH 415; MATH 285, MATH 284, MATH 286, or MATH 441; and TAM 212.",AE 352
174,"Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Credit is not given toward graduation for AE 353 and either SE 320 or ME 340. Prerequisite: MATH 225, MATH 257, or MATH 415; and MATH 285 and TAM 212.",AE 353
175,"Numerical methods used in aerospace engineering. Numerical integration, curve fitting, root finding, numerical solution of ODE, solution of linear systems of equations. Finite difference. Rayleigh-Ritz, and Finite element methods. Applications to simple structural mechanics and aerodynamics problems encountered in aerospace engineering. Prerequisite: Credit or concurrent registration in AE 311 or AE 312; credit or concurrent registration in AE 321 or AE 323.",AE 370
176,Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.,AE 395
177,Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. Prerequisite: Consent of instructor.,AE 396
178,"Theory and applications of spacecraft attitude dynamics and control; Euler angles, direction cosines, quaternions, and Gibbs-Rodrigues parameters; attitude sensors and control actuators; spin, three-axis active, reaction wheel, control moment gyro, and gravity gradient control systems; environmental effects. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 352 and AE 353.",AE 403
179,"Computational technologies as solution tools for various aerodynamic problems; modeling and solution of one-and two-dimensional, incompressible and compressible, steady and unsteady inviscid external flow fields. Computational laboratory for practical experience. Same as CSE 461. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 311; credit or concurrent enrollment in AE 312.",AE 410
180,"Steady and quasi-steady aircraft flight performance; take-off and landing, climbing and diving, cruise, level turn, and energy methods; longitudinal, directional, and lateral static stability and control; longitudinal and lateral motion and dynamic stability. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 202 and AE 353.",AE 419
181,"Basic principles of chemical rocket propulsion and performance, rocket component design, liquid rockets, solid rocket motors, combustion processes, combustion instability. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 312.",AE 434
182,"Elements of electric propulsion as applied to near-earth and deep-space missions; impact on spacecraft design; physics of ionized gases; plasmadynamics; electrothermal, electromagnetic, and electrostatic acceleration of gases to high velocity; high-impulse thruster design and performance; the resistojet, arcjet, ion engine, Hall thruster, MPD arc thruster, and plasma gun. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 312 or ME 410, PHYS 212, and ECE 205.",AE 435
183,"Continuation of AE 442. Conceptual design project of either an aircraft or spacecraft flight system to satisfy a given set of requirements. Project team organization. Emphasis on sizing, trade studies and design optimization, subsystem integration, and technical communication skills. 3 undergraduate hours. No graduate credit. Prerequisite: AE 442.",AE 443
184,"Examination of the common core of dynamics and control theory. Fundamental concepts of Lagrangian dynamics, state space representations, Hamiltonian and modern dynamics, stability theory, and control of dynamical systems. 3 undergraduate hours. 4 graduate hours. Prerequisite: AE 353.",AE 454
185,"Theory and application of experimental techniques in aerospace engineering with emphasis on structural mechanics, vibrations, dynamics, and control systems. 2 undergraduate hours. No graduate credit. Prerequisite: AE 321 and AE 352. Credit or concurrent registration in AE 323 and AE 353.",AE 461
186,"This course will cover topics necessary to design, fabricate, and evaluate the performance of unmanned aerial vehicles (UAVs). After a brief introduction to UAVs, an overview will be given of aerodynamics, stability/control, propulsion, aircraft performance, UAV hardware, manufacturing methods, and computational tools needed to fabricate unmanned aerial vehicles. An emphasis of the course will be on aircraft fabrication techniques (welding, composites, turning, milling, joining, additive manufacturing, etc.) culminating in the construction of the final design project. 3 undergraduate hours. No graduate credit. Prerequisite: AE 202 and AE 311. Restricted to AE majors only.",AE 484
187,"Optimal rocket trajectories in inverse-square and linearized gravitational fields; orbital transfer, intercept, and rendezvous; high-thrust (impulsive) and low-thrust (continuous) trajectories; primer vector theory and applications; cooperative rendezvous. Prerequisite: Credit or concurrent registration in AE 504.",AE 508
188,Boundary layer concept at high Reynolds numbers; self-similar solutions of incompressible and compressible boundary layers; stability of parallel and nearly-parallel wall-bounded viscous flows; transition to turbulence; turbulent boundary layers; high-speed boundary layers; strong Reynolds analogy; Morkovin's hypothesis. Prerequisite: AE 412.,AE 514
189,Theoretical analysis of the aerodynamic characteristics of two- and three-dimensional wings and multiple-body systems in subsonic and supersonic flows. Prerequisite: AE 416.,AE 515
190,"Manufacturing methods for polymer-matrix composite materials; analysis of fiber processing techniques, interfacial treatments, and composites fabrication methods; analytical treatment of process modeling including heat transfer, cure kinetics, resin flow, and residual stresses. Term project. Prerequisite: TAM 428.",AE 526
191,"Fundamental aerospace industry methods for control of an engineering development effort of a complex aerospace system typical in development of spacecraft, launch vehicles, aircraft, remotely controlled vehicles, and associated supporting infrastructure system in current acquisition environments. Standards and techniques to control risk, integration of technologies, and exploration of ""design-to"" process tailoring and systematically make design decisions. Prerequisite: AE 542.",AE 543
192,"Frequency-response design specifications; algebraic and analytic constraints in scalar systems; uncertainty representation; Nyquist stability theory, small gain condition, and multi-input multi-output systems; singular value decomposition; robustness and u-function; linear quadratic regulator based design; recovery of LQ Design properties; Kalman filter; Riccati equations; H-infinity based design; reduction; balanced truncation; Hankel singular values; coprime factor reduction; loop shaping. Same as SE 521. 4 graduate hours. No professional credit. Prerequisite: ECE 515.",AE 555
193,"Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complements the AFROTC academic program (AFAS 111 - AFAS 342). It is a student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and operations Flight Commander. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.",AFAS 102
194,"Heritage and Values of the United States Air Force is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Prerequisite: AFAS 111 or consent of instructor. Concurrent enrollment in AFAS 102 is required.",AFAS 112
195,Team and Leadership Fundamentals focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Prerequisite: AFAS 221 or consent of instructor. Concurrent enrollment in AFAS 102 is required.,AFAS 222
196,Leading People and Effective Communication teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skill. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Prerequisite: AFAS 331 or consent of instructor. Concurrent enrollment with AFAS 102 is required.,AFAS 332
197,"""National Security Affairs/Preparation for Active Duty"" is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 341 or consent of instructor.",AFAS 342
198,"Sociohistorical survey of African American experiences from the West African background to North America, from the 17th century to the present. Same as HIST 174.",AFRO 101
199,"Survey of African American music, from its origins to the present with a focus on understanding details of musical performance and the ways in which music interacts with its social and political context. Examines genres such as spirituals, the blues, jazz, R&B, soul, and hip-hop. No previous musical background is necessary.",AFRO 132
200,Introduction to various methodologies to be employed in the interdisciplinary field of African American/Africana studies. Prerequisite: AFRO 100.,AFRO 220
201,"A study of hip-hop from its beginnings in the post-industrial South Bronx of the 1970s to the global present. By focusing on the work of specific artists and movements, we will compare and contrast the production and consumption of hip-hop with other forms of popular music (including jazz, rock, disco, and pop). This course shows how musicians and listeners use hip-hop to express ideas about topics such as economics, nationalism, black power, feminism, and violence.",AFRO 228
202,"Introduction to the research, theories, and paradigms developed to understand the attitudes, behaviors, and psychological and educational realities of African Americans. Same as PSYC 416. 3 undergraduate hours. 4 graduate hours. Prerequisite: AFRO 100 or one psychology course.",AFRO 411
203,"Explores readings and research from the perspective of feminists throughout the African diaspora, with a focus on Black feminist thought emanating from the United States. Same as AFST 420 and GWS 415. 3 undergraduate hours. 4  graduate hours. Prerequisite: AFRO 103 and an additional 300 or 400-level African American Studies course or consent of the instructor.",AFRO 415
204,3 undergraduate hours. No graduate credit. Prerequisite: AFRO 100 and AFRO 220 or AFRO 490.,AFRO 495
205,Seminar on selected topics with particular emphasis on current research trends. 3 undergraduate hours. 4 graduate hours. May be repeated up to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Upper level AFRO course (300 or above) or consent of instructor.,AFRO 498
206,"Focused reading and study of special problems in African American Studies. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing, AFRO 500 or equivalent, or consent of instructor.",AFRO 597
207,"Graduate seminar on special topics based on current research trends. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing, AFRO 500 or equivalent, or consent of instructor.",AFRO 598
208,Significant contemporary African writings depicting the history and cultural traditions of African peoples. Same as CWL 210 and ENGL 211.,AFST 210
209,"Interdisciplinary introduction to Africa dealing with basic themes and problems in the politics, economics, sociology, anthropology, and history of Africa. Same as ANTH 222, PS 242, and SOC 222.",AFST 222
210,"A supervised practicum that emphasizes participation in the Center's educational activities and includes organizing conferences and outreach to K-12 educators, the media, and the community. Approved for S/U grading only. Prerequisite: Enrollment in graduate African Studies program or related Ph.D. programs, or consent of instructor.",AFST 515
211,"Skills necessary to communicate complex information about the broad agriculture domain to different audiences. Application of communication theories. Emphasis on essential communication skills, including writing, conducting interviews, planning, and critical evaluation of information sources. Same as ENVS 220 and NRES 220. Prerequisite: Completion of a Composition I course.",AGCM 220
212,"Special topics in a field of study directly pertaining to subject matter in agricultural communications. Same as ALEC 398. May be repeated in the same or separate semesters, if topics vary.",AGCM 398
213,"Coordinated approach to planning, implementing and evaluating information campaigns in the broad domain of food and agriculture. Students work with groups, agencies and organizations in designing communication campaigns strategies and tactics. 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. Credit is not given for both AGCM 420 and AGCM 320. Prerequisite: Sophomore standing and Composition I course.",AGCM 420
214,"Our world is dominated by visuals and visuals construct our understanding of the world. This class investigates images, from creation to circulation, and everything in between. The first half of the course is dedicated to developing a vocabulary for describing and analyzing photographs and their role in creating and/or critiquing our world. The second half of the semester offers students the chance to produce images while also discussing the ethics and responsibilities of image production. Overall, the class offers a chance to explore the medium of photography as both a skill and an area of research and criticism. 3 undergraduate hours. 3 graduate hours. Prerequisite: Prior coursework in AGCM recommended.",AGCM 440
215,"Explores how science is communicated across contexts. Students will gain practical skills in communicating science to broad audiences. The main focus will be on agricultural science, but the lessons will be relevant to all science communicators. Topics will include exploring the foundations of science communication, developing skills in science writing for news and advocacy, public speaking, ethics and science communication, how persuasion operates in the context of science communication, science communication campaigns, among others. 3 undergraduate hours. 3 graduate hours. Approved for Letter and S/U grading. Prerequisite: Restricted to Junior or Senior standing for undergraduate students. Graduate standing is required for graduate credit.",AGCM 495
216,"Early field experience in agricultural education, including observation and analysis activities in public schools, extension programs, or other selected settings; participation in clinical field experience activities; examination of educational program development and operation, teaching and learning processes, contextual factors in learning, evaluation of student learning; and professionalism. Approximately 45 hours of early field experience will be acquired. Off-campus observation begins the first week of January. Agricultural education programs in both school and non-school settings are examined. Prerequisite: AGED 220; concurrent enrollment in EDPR 203.",AGED 250
217,An introduction to the application of pedagogy through early field experiences in agricultural education. Students participate in eight weeks of instruction and 40 hours of participatory experiences in approved agricultural education programs. Off-campus observation begins the first week of January. Restricted to graduate students in the teacher education option. 2 undergraduate hours. 2 graduate hours. Prerequisite: Concurrent enrollment in EDPR 203.,AGED 410
218,"This instructional methodology course provides students the opportunity to analyze the principles of learning and teaching as they influence the academic motivation of learners in formal and non-formal environments within agricultural, food and environmental sciences. Topics include: the understanding and implementation of psychological aspects of learning, planning and development of agricultural courses and curricula, creating teaching plans, managing positive learning environments, evaluating student learning, and the utilization of effective self-reflective teaching behaviors. 3 undergraduate hours. 3 graduate hours. Prerequisite: AGED 220 for majors; consent of instructor for non-majors.",AGED 420
219,"Students complete this course during their twelve-week practice teaching or internship experience. Written assignments will focus on development of teaching plans, program initiation and improvement plans, and actual evaluation studies of agricultural education programs. Instruction will be provided during on-site faculty visits and by cooperating personnel. 4 undergraduate hours. 4 graduate hours. Prerequisite: AGED 420.",AGED 450
220,Designed for James Scholars for Applied Health Sciences who are in their first year of college to introduce them to research. Students will learn strategies to apply classroom material to community and society. Includes visits from faculty and staff from across campus and within the College who will expose students to an array of contexts and approaches for research. This course is a James Scholar course for freshmen only.,AHS 125
221,Provides credit toward the undergraduate degree for study at an accredited international institution or approved overseas program. Final determination of credit granted is made upon the student' s successful completion of work. Approved for letter and S/U grading. May be repeated to a maximum of 44 hours. Prerequisite: One year or residence at UIUC and consent of major department and the college.,AHS 292
222,"Interdisciplinary introduction surveys the stories, histories, and lands of tribal peoples who became known as ""American Indians"".",AIS 101
223,"Introduces students to the study of American Indian literature by focusing on texts by contemporary American Indian novelists, poets, and playwrights. Over the course of the semester, students will consider how indigenous aesthetics shape narrative in addition to examining how American Indian authors engage the legacies of colonization and the histories of their tribal communities through their stories. Same as ENGL 265.",AIS 265
224,An introduction to the English-language traditions of indigenous intellectuals. Specific topics vary. May be repeated in the same term to a maximum of 6 hours. May be repeated in subsequent terms to a maximum of 9 hours.,AIS 285
225,"Students will study various efforts to ""civilize"" American Indians through US government initiatives and religious churches, as well as educational models developed by tribal entities following passage of the Indian Self-Determination and Education Assistance Act of 1975. Same as EPOL 404. 3 undergraduate hours. 4 graduate hours.",AIS 481
226,Individual guidance in intensive readings in the theories and practices of the field of American Indian Studies. 1 to 8 undergraduate hours. 1 to 8 graduate hours. May be repeated in the same or subsequent terms to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Graduate standing or one course in AIS and consent of instructor.,AIS 491
227,"Research and writing seminar that offers special topics based on current research questions and concerns in American Indian and indigenous Studies and opportunities for graduate students who have made considerable progress in defining a research project to advance the research and writing to the next stage (e.g., to include as a thesis or dissertation chapter or for publication). Topics vary. May be repeated as topic varies in subsequent semesters to a maximum of 8 hours. Prerequisite: AIS 501 and AIS 502, or consent of the instructor.",AIS 503
228,"Food, agriculture, and the environment are shaped by communications. Students investigate a wide variety of current topics and controversies and how to educate, evaluate, and persuade on these issues. The course emphasizes the foundations of public speaking, with emphasis on organizing, researching, crafting, and presenting material. Students deliver five speeches throughout the semester and regularly analyze and evaluate speeches and other mediated messages about food, agriculture, and the environment. Credit is not given toward graduation for ALEC 115 and CMN 101 or CMN 111/112.",ALEC 115
229,"Provides an opportunity to apply principles and theories related to Agricultural Leadership, Education & Communications within the field through meaningful work experiences. Upon completion of the internship experience, the student will be able to incorporate principles and theories from classroom knowledge to real-life work situations that benefit the supporting organization both qualitatively and quantitatively while enhancing the problem-solving abilities of the student. Approved for S/U grading only. May be repeated up to 6 hours in separate terms. Prerequisite: ALEC 110. Restricted to majors only.",ALEC 393
230,"Students will investigate theoretical principles of education and learning; evaluate the roles of emotion and motivation and their impacts on the acquisition and retention of knowledge; and explore psychological and physiological variables that impact learning. Additional topics to examine include: metacognition, fixed and growth mindset, approaches to learning, and specific teaching and learning techniques that predict learner success. 3 graduate hours. No professional credit. Prerequisite: Restricted to Graduate students.",ALEC 505
231,Theory and practice of volunteer management including: volunteer demographics; recruitment; selection; orientation; training and development; retention; supervision; motivation; evaluation; legal issues; and rick management. Students will develop a comprehensive volunteer management strategy based on using volunteers in non-profit organizations. 3 graduate hours. No professional credit. Prerequisite: Restricted to graduate students only.,ALEC 540
232,"Survey of beef and dairy cattle, companion animals, horses, poultry, sheep, and swine. Includes the importance of product technology and the basic principles of nutrition, genetics, physiology, and behavior as they apply to breeding, selection, feeding, and management. Lecture and lab.",ANSC 100
233,"Introductory course that will provide novice students with the fundamentals of animal-animal and animal-human interactions for domestic farm animals. Emphasizes hands-on experiences to develop a background in the concepts and practice of recognizing and understanding the animal's physiology and behavior, animal well being, and animal responses to human interactions. Prerequisite: ANSC 100. Restricted to students in the Animal Sciences department. Not intended for First Time Freshman students.",ANSC 103
234,"Lecture/discussion course that will provide students an overview of biotechnology and animals. Focuses on biotechnological achievements involving animals and how they influence the global development of agriculture, medicine, and industry. Topics will be covered from scientific, discovery, historical, social, and political perspectives. Credit is not given to Animal Science majors.",ANSC 110
235,"With the rise of both social media and documentary films, animal welfare is mainly viewed through the lens of media. This course asks students to critically evaluate information from these pieces of media and better understand the narratives and biases that can be inherent in documentaries, nature films, undercover animal rights investigations, and social media accounts. We will also explore how these media can be used to bring awareness and education about animal industries.",ANSC 120
236,"Surveys the dairy industry; examines principles of breeding, selection, reproduction, feeding, milking and management of dairy cattle. Prerequisite: ANSC 100.",ANSC 201
237,"Examination of the world's animals, domesticated and wild, and their uses in various climatic, economic and cultural contexts. Exploration of their contemporary management and their future prospects. Provides background for international experiences, such as ACES 298 and ACES 299. Prerequisite: Completion of the campus Composition I general education requirement.",ANSC 205
238,"Provides students with the knowledge and skills necessary to care for animal species commonly kept as pets. Biological concepts of anatomy, genetics, evolution, nutrition, reproduction, and behavior will provide valuable insight into companion animal husbandry practices for dogs, cats, small mammals, birds, fish, reptiles, and amphibians. Credit is not given for both ANSC 207 and ANSC 307.",ANSC 207
239,"This course will focus on food preparation and safety, product quality, correct cooking methods, endpoint temperatures, and other general grilling-related topics. The objective is to expand student knowledge on how to utilize different cuts of meat and other products to produce meals. Students will work in groups to prepare a dish with a specific product assigned to them and present their results to the class. Grills and cooking equipment will be provided. Additional fees may apply. See Class Schedule.",ANSC 210
240,"Application of current scientific tools, methods, and performance programs available to livestock breeders for improving beef cattle, swine, and sheep; emphasis on the changing nature of modern breeds of livestock as influenced by selection, economics, and consumer and market trends. Course requires visits (including weekends) to farms, related companies, and events to observe the latest techniques and scientific principles associated with livestock selection and evaluation. Students are responsible for personal expenses on the field trips. Prerequisite: Junior standing.",ANSC 211
241,"The objective of each section is to train students on industry evaluation techniques of animals and/or their by-products. Additionally, students will examine different industry production styles, selection for improvements, and end product marketability. This course is divided into sections that focus on evaluation of animals or animal by-products (meat or dairy) and will develop skills of basic evaluation associated with each section. Travel to production facilities may occur based on the section. For Animal Science majors, only one instance (2 credit hours) taken in this course will count as an Applied Science credit towards their degree requirements. May be repeated in separate semesters, if topics vary to a maximum of 6 credit hours.",ANSC 215
242,"Provides an introductory background in the fundamental principles of animal nutrition and how nutrition impacts animal well-being and performance. Students will develop comprehensive knowledge in gastrointestinal and digestive anatomy and physiology, nutrient function and requirements, and energy utilization in various species. Specific topics include different classes and properties of nutrients, differences in digestive mechanisms in monogastric vs. ruminant animals, and how carbohydrates, lipids, proteins, minerals, and vitamins contribute to the nutrient requirements of animals. Prerequisite: ANSC 100, ANSC 221, and CHEM 104 and CHEM 105.",ANSC 223
243,"Study of the basic principles of reproduction, lactation, growth, and hormonal regulation in animals as well as humans, including cell growth and differentiation, processes of reproduction, biotechnological methods of reproductive control, manipulation, performance enhancement of lactation and growth. Prerequisite: ANSC 100, ANSC 221.",ANSC 224
244,"Explores the current and historical functions and influences of companion animals in American society. Topics include the evolution of animal protection, the use of assistance and service animals, and the growth of the pet supply industry. Controversial issues which are of current concern to society will also be examined.",ANSC 250
245,"Explores ethical issues raised by human use of animals. Students will be asked to apply philosophical perspectives to historical and current animal issues such as raising animals for food production, the keeping of pets, management and use of wild animals, use of animals in research, animal breeding and biotechnology, and animal control.",ANSC 255
246,"Designed to help students prepare for and investigate different career options in Animal Sciences. Professional development opportunities like undergraduate research, internships, and study abroad will be discussed. Prerequisite: Sophomore standing.",ANSC 298
247,"Understand and apply current scientific research and principles of equine science to intensive horse production. An in-depth approach to equine reproductive physiology, nutrition, anatomy and exercise physiology will be followed using a combined lecture and laboratory format. Emphasis on current research and hands-on techniques. Prerequisite: ANSC 222 or equivalent, and credit or concurrent enrollment in ANSC 224 or equivalent.",ANSC 306
248,Advanced course for students interested in improving their performance and conformation evaluation skills; provides exposure to the horse show industry and the career opportunities associated with this facet of the horse industry.,ANSC 313
249,Introduction to concepts of animal behavior with emphasis on domestic animals; lecture and discussion. Prerequisite: ANSC 100.,ANSC 363
250,"Student-directed experiential learning on special topics directly pertaining to subject matter in animal sciences. Students are required to complete a Memorandum of Agreement prior to enrolling in this course. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 5 hours per semester, up to a maximum of 12 total hours. Independent Study courses are limited to 12 hours total applying to a degree in ACES.",ANSC 398
251,"The objective of this course is to understand the core principles of sheep and goat production. This course covers topics including common breeds, reproduction, breeding and selection, nutrition, health, fiber production, and management. Some lectures will be at the University farms. Other lectures will include demonstrations of sheep and goats evaluation principles, neonatal lamb and kid health, body condition scoring, and lamb and goat cooking. 3 undergraduate hours. 3 graduate hours. Prerequisite: ANSC 223 or equivalent.",ANSC 402
252,"Basic principles of genetics, physiology, nutrition, and health of avian species; the application of science and technology in solving the breeding, nutrition, disease, housing, and other management problems encountered in commercial egg and poultry meat production. 3 undergraduate hours. 3 graduate hours.",ANSC 404
